    inst#     actual  predicted error prediction
       77        1:?        1:N       0.992 
       78        1:?        1:N       0.972 
       79        1:?        1:N       0.972 
       80        1:?        1:N       0.926 
       81        1:?        1:N       0.997 
       82        1:?        1:N       0.999 
       83        1:?        1:N       0.994 
       84        1:?        1:N       0.731 
       85        1:?        1:N       0.742 
       86        1:?        2:Y       0.975 
       87        1:?        1:N       0.828 
       88        1:?        1:N       0.828 
       89        1:?        2:Y       1 
       90        1:?        1:N       1 
       91        1:?        1:N       0.997 
       92        1:?        1:N       1 
       93        1:?        1:N       1 
       94        1:?        1:N       0.826 
       95        1:?        1:N       0.998 
       96        1:?        1:N       0.997 
       97        1:?        1:N       0.93 
       98        1:?        1:N       0.973 
       99        1:?        1:N       0.952 
      100        1:?        1:N       0.836 
      101        1:?        2:Y       0.968 
      102        1:?        2:Y       1 
      103        1:?        1:N       1 
      104        1:?        1:N       0.946 
      105        1:?        2:Y       0.858 
      106        1:?        1:N       0.983 
      107        1:?        1:N       1 
      108        1:?        1:N       0.962 
      109        1:?        1:N       0.994 
      110        1:?        1:N       0.935 
      111        1:?        1:N       0.995 
      112        1:?        1:N       0.65 
      113        1:?        1:N       0.992 
      114        1:?        1:N       0.947 
      115        1:?        1:N       0.975 
      116        1:?        2:Y       0.75 
      117        1:?        1:N       0.943 
      118        1:?        1:N       0.971 
      119        1:?        1:N       1 
      120        1:?        1:N       0.989 
      121        1:?        2:Y       0.717 
      122        1:?        1:N       0.992 
      123        1:?        1:N       0.994 
      124        1:?        1:N       0.99 
      125        1:?        1:N       0.944 
      126        1:?        1:N       0.907 
      127        1:?        1:N       0.994 
      128        1:?        1:N       0.944 
      129        1:?        1:N       0.926 
      130        1:?        1:N       0.986 
      131        1:?        1:N       0.995 
      132        1:?        1:N       0.739 
      133        1:?        1:N       0.84 
      134        1:?        1:N       1 
      135        1:?        1:N       1 
      136        1:?        1:N       1 
      137        1:?        1:N       0.998 
      138        1:?        1:N       0.665 
      139        1:?        1:N       0.894 
      140        1:?        2:Y       1 
      141        1:?        2:Y       0.865 
      142        1:?        1:N       0.886 
      143        1:?        1:N       1 
      144        1:?        2:Y       0.84 
      145        1:?        1:N       0.992 
      146        1:?        2:Y       0.804 
      147        1:?        1:N       1 
      148        1:?        1:N       1 
      149        1:?        2:Y       0.875 
      150        1:?        1:N       0.994 
      151        1:?        1:N       0.993 
      152        1:?        1:N       0.995 
      153        1:?        1:N       0.969 
      154        1:?        1:N       0.827 
      155        1:?        1:N       1 
      156        1:?        1:N       0.991 
      157        1:?        1:N       0.994 
      158        1:?        2:Y       0.996 
      159        1:?        2:Y       1 
      160        1:?        2:Y       0.799 
      161        1:?        2:Y       0.956 
      162        1:?        2:Y       0.955 
      163        1:?        1:N       0.997 
      164        1:?        1:N       0.964 
      165        1:?        1:N       0.977 
      166        1:?        1:N       0.841 
      167        1:?        1:N       0.994 
      168        1:?        1:N       0.627 
      169        1:?        1:N       1 
      170        1:?        2:Y       0.547 
      171        1:?        1:N       0.995 
      172        1:?        1:N       0.53 
      173        1:?        1:N       1 
      174        1:?        1:N       0.888 
      175        1:?        1:N       0.998 
      176        1:?        1:N       0.971 
      177        1:?        1:N       0.984 
      178        1:?        2:Y       0.953 
      179        1:?        1:N       0.583 
      180        1:?        1:N       0.592 
      181        1:?        1:N       0.811 
      182        1:?        1:N       0.986 
      183        1:?        1:N       0.994 
      184        1:?        1:N       0.99 
      185        1:?        1:N       0.883 
      186        1:?        1:N       0.912 
      187        1:?        1:N       0.994 
      188        1:?        1:N       0.893 
      189        1:?        1:N       0.994 
      190        1:?        1:N       0.996 
      191        1:?        2:Y       0.62 
      192        1:?        2:Y       0.686 
      193        1:?        1:N       0.869 
      194        1:?        1:N       0.998 
      195        1:?        1:N       0.903 
      196        1:?        1:N       0.998 
      197        1:?        2:Y       0.937 
      198        1:?        1:N       0.999 
      199        1:?        1:N       1 
      200        1:?        1:N       0.997 
      201        1:?        1:N       0.949 
      202        1:?        1:N       0.761 
      203        1:?        1:N       0.994 
      204        1:?        1:N       0.975 
      205        1:?        1:N       1 
      206        1:?        1:N       0.989 
      207        1:?        1:N       1 
      208        1:?        1:N       0.999 
      209        1:?        1:N       0.999 
      210        1:?        1:N       0.994 
      211        1:?        1:N       0.876 
      212        1:?        1:N       1 
      213        1:?        1:N       0.818 
      214        1:?        1:N       1 
      215        1:?        1:N       1 
      216        1:?        1:N       0.999 
      217        1:?        1:N       0.999 
      218        1:?        1:N       0.929 
      219        1:?        1:N       1 
      220        1:?        1:N       1 
      221        1:?        1:N       0.999 
      222        1:?        1:N       0.713 
      223        1:?        1:N       0.999 
      224        1:?        1:N       1 
      225        1:?        1:N       1 
      226        1:?        1:N       0.997 
      227        1:?        1:N       0.898 
      228        1:?        1:N       0.971 
      229        1:?        1:N       1 
      230        1:?        1:N       1 
      231        1:?        1:N       0.999 
      232        1:?        1:N       0.996 
      233        1:?        1:N       1 
      234        1:?        1:N       0.999 
      235        1:?        1:N       1 
      236        1:?        1:N       0.99 
      237        1:?        1:N       0.631 
      238        1:?        1:N       0.997 
      239        1:?        1:N       0.999 
      240        1:?        1:N       1 
      241        1:?        1:N       1 
      242        1:?        1:N       0.999 
      243        1:?        1:N       0.999 
      244        1:?        1:N       0.999 
      245        1:?        1:N       0.999 
      246        1:?        2:Y       0.9 
      247        1:?        1:N       1 
      248        1:?        1:N       0.994 
      249        1:?        1:N       1 
      250        1:?        1:N       0.999 
      251        1:?        1:N       0.999 
      252        1:?        2:Y       1 
      253        1:?        1:N       1 
      254        1:?        1:N       1 
      255        1:?        1:N       0.869 
      256        1:?        1:N       1 
      257        1:?        1:N       1 
      258        1:?        1:N       1 
      259        1:?        1:N       0.996 
      260        1:?        1:N       0.999 
      261        1:?        1:N       0.984 
      262        1:?        1:N       0.85 
      263        1:?        1:N       0.997 
      264        1:?        1:N       0.947 
      265        1:?        1:N       1 
      266        1:?        1:N       1 
      267        1:?        2:Y       0.982 
      268        1:?        1:N       1 
      269        1:?        1:N       1 
      270        1:?        1:N       1 
      271        1:?        1:N       0.999 
      272        1:?        1:N       1 
      273        1:?        1:N       0.991 
      274        1:?        1:N       1 
      275        1:?        1:N       0.967 
      276        1:?        1:N       1 
      277        1:?        2:Y       0.604 
      278        1:?        1:N       1 
      279        1:?        1:N       1 
      280        1:?        1:N       1 
      281        1:?        1:N       1 
      282        1:?        1:N       1 
      283        1:?        1:N       1 
      284        1:?        1:N       1 
      285        1:?        1:N       1 
      286        1:?        1:N       1 
      287        1:?        1:N       1 
      288        1:?        1:N       1 
      289        1:?        1:N       1 
      290        1:?        1:N       1 
      291        1:?        1:N       1 
      292        1:?        1:N       1 
      293        1:?        1:N       1 
      294        1:?        1:N       1 
      295        1:?        1:N       1 
      296        1:?        1:N       1 
      297        1:?        1:N       1 
      298        1:?        1:N       1 
      299        1:?        1:N       1 
      300        1:?        1:N       0.999 
      301        1:?        1:N       1 
      302        1:?        1:N       1 
      303        1:?        1:N       1 
      304        1:?        1:N       1 
      305        1:?        1:N       1 
      306        1:?        1:N       1 
      307        1:?        1:N       1 
      308        1:?        1:N       1 
      309        1:?        1:N       1 
      310        1:?        1:N       1 
      311        1:?        1:N       1 
      312        1:?        1:N       1 
      313        1:?        1:N       0.989 
      314        1:?        1:N       1 
      315        1:?        1:N       0.877 
      316        1:?        2:Y       1 
      317        1:?        2:Y       0.996 
      318        1:?        2:Y       0.612 
      319        1:?        1:N       1 
      320        1:?        1:N       0.595 
      321        1:?        1:N       0.992 
      322        1:?        1:N       0.623 
      323        1:?        1:N       0.999 
      324        1:?        1:N       0.893 
      325        1:?        1:N       1 
      326        1:?        1:N       0.999 
      327        1:?        2:Y       0.985 
      328        1:?        1:N       0.859 
      329        1:?        1:N       0.918 
      330        1:?        1:N       0.994 
      331        1:?        1:N       0.942 
      332        1:?        1:N       0.985 
      333        1:?        1:N       1 
      334        1:?        1:N       1 
      335        1:?        1:N       0.982 
      336        1:?        2:Y       1 
      337        1:?        1:N       0.998 
      338        1:?        1:N       0.973 
      339        1:?        1:N       1 
      340        1:?        1:N       0.954 
      341        1:?        1:N       1 
      342        1:?        1:N       0.983 
      343        1:?        1:N       0.99 
      344        1:?        1:N       0.999 
      345        1:?        1:N       0.997 
      346        1:?        1:N       0.999 
      347        1:?        2:Y       1 
      348        1:?        2:Y       0.927 
      349        1:?        1:N       1 
      350        1:?        1:N       0.651 
      351        1:?        1:N       0.997 
      352        1:?        1:N       1 
      353        1:?        1:N       0.547 
      354        1:?        2:Y       0.985 
      355        1:?        1:N       0.998 
      356        1:?        2:Y       0.998 
      357        1:?        1:N       1 
      358        1:?        1:N       0.999 
      359        1:?        2:Y       0.981 
      360        1:?        1:N       0.992 
      361        1:?        1:N       1 
      362        1:?        1:N       1 
      363        1:?        1:N       1 
      364        1:?        1:N       0.789 
      365        1:?        1:N       0.79 
      366        1:?        1:N       0.997 
      367        1:?        1:N       0.666 
      368        1:?        1:N       0.994 
      369        1:?        1:N       0.877 
      370        1:?        1:N       0.973 
      371        1:?        2:Y       0.997 
      372        1:?        1:N       0.992 
      373        1:?        1:N       0.979 
      374        1:?        1:N       0.993 
      375        1:?        1:N       0.575 
      376        1:?        1:N       1 
      377        1:?        1:N       1 
      378        1:?        1:N       0.994 
      379        1:?        1:N       0.9 
      380        1:?        2:Y       0.818 
      381        1:?        1:N       0.88 
      382        1:?        1:N       1 
      383        1:?        2:Y       0.609 
      384        1:?        1:N       0.804 
      385        1:?        1:N       0.963 
      386        1:?        1:N       0.996 
      387        1:?        1:N       0.994 
      388        1:?        1:N       0.997 
      389        1:?        1:N       1 
      390        1:?        1:N       0.994 
      391        1:?        1:N       0.945 
      392        1:?        1:N       0.979 
      393        1:?        1:N       0.999 
      394        1:?        1:N       0.998 
      395        1:?        1:N       0.956 
      396        1:?        1:N       0.894 
      397        1:?        1:N       0.699 
      398        1:?        1:N       0.934 
      399        1:?        1:N       0.961 
      400        1:?        1:N       0.786 
      401        1:?        1:N       0.994 
      402        1:?        1:N       0.99 
      403        1:?        1:N       0.994 
      404        1:?        2:Y       1 
      405        1:?        1:N       0.726 
      406        1:?        1:N       0.961 
      407        1:?        1:N       0.73 
      408        1:?        1:N       0.942 
      409        1:?        1:N       0.921 
      410        1:?        1:N       0.99 
      411        1:?        1:N       0.994 
      412        1:?        2:Y       1 
      413        1:?        1:N       1 
      414        1:?        1:N       0.992 
      415        1:?        1:N       1 
      416        1:?        1:N       0.994 
      417        1:?        1:N       1 
      418        1:?        1:N       1 
      419        1:?        1:N       0.821 
      420        1:?        1:N       0.878 
      421        1:?        1:N       1 
      422        1:?        1:N       0.995 
      423        1:?        1:N       0.945 
      424        1:?        1:N       0.996 
      425        1:?        1:N       0.967 
      426        1:?        1:N       0.66 
      427        1:?        1:N       0.881 
      428        1:?        1:N       1 
      429        1:?        2:Y       0.841 
      430        1:?        2:Y       0.619 
      431        1:?        1:N       0.999 
      432        1:?        1:N       0.998 
      433        1:?        1:N       1 
      434        1:?        1:N       1 
      435        1:?        1:N       1 
      436        1:?        1:N       0.979 
      437        1:?        2:Y       0.966 
      438        1:?        1:N       0.999 
      439        1:?        1:N       0.881 
      440        1:?        1:N       0.997 
      441        1:?        1:N       0.982 
      442        1:?        2:Y       0.65 
      443        1:?        1:N       0.999 
      444        1:?        1:N       1 
      445        1:?        1:N       0.946 
      446        1:?        2:Y       0.961 
      447        1:?        1:N       0.992 
      448        1:?        1:N       1 
      449        1:?        2:Y       0.712 
      450        1:?        2:Y       1 
      451        1:?        1:N       1 
      452        1:?        1:N       0.9 
      453        1:?        1:N       0.789 
      454        1:?        1:N       0.997 
      455        1:?        1:N       0.577 
      456        1:?        1:N       0.953 
      457        1:?        1:N       0.988 
      458        1:?        1:N       1 
      459        1:?        2:Y       0.996 
      460        1:?        1:N       0.832 
      461        1:?        1:N       0.994 
      462        1:?        1:N       0.994 
      463        1:?        1:N       0.981 
      464        1:?        2:Y       1 
      465        1:?        1:N       0.974 
      466        1:?        1:N       1 
      467        1:?        1:N       0.996 
      468        1:?        1:N       0.974 
      469        1:?        1:N       0.951 
      470        1:?        1:N       0.979 
      471        1:?        1:N       1 
      472        1:?        1:N       0.986 
      473        1:?        1:N       0.984 
      474        1:?        2:Y       0.842 
      475        1:?        2:Y       0.891 
      476        1:?        2:Y       0.863 
      477        1:?        2:Y       0.622 
      478        1:?        1:N       0.898 
      479        1:?        1:N       0.752 
      480        1:?        1:N       0.919 
      481        1:?        1:N       0.993 
      482        1:?        2:Y       0.541 
      483        1:?        1:N       0.946 
      484        1:?        1:N       0.997 
      485        1:?        1:N       0.994 
      486        1:?        2:Y       0.582 
      487        1:?        1:N       1 
      488        1:?        2:Y       0.883 
      489        1:?        1:N       1 
      490        1:?        1:N       0.895 
      491        1:?        1:N       0.994 
      492        1:?        1:N       1 
      493        1:?        1:N       0.885 
      494        1:?        1:N       0.985 
      495        1:?        1:N       0.987 
      496        1:?        2:Y       0.995 
      497        1:?        1:N       0.99 
      498        1:?        1:N       0.996 
      499        1:?        1:N       0.776 
      500        1:?        1:N       0.856 
      501        1:?        2:Y       1 
      502        1:?        1:N       0.999 
      503        1:?        1:N       0.996 
      504        1:?        1:N       0.657 
      505        1:?        1:N       1 
      506        1:?        1:N       0.994 
      507        1:?        1:N       0.827 
      508        1:?        2:Y       0.992 
      509        1:?        2:Y       0.562 
      510        1:?        1:N       0.901 
      511        1:?        2:Y       0.999 
      512        1:?        1:N       0.995 
      513        1:?        1:N       0.991 
      514        1:?        1:N       1 
      515        1:?        1:N       0.994 
      516        1:?        2:Y       0.987 
      517        1:?        1:N       0.954 
      518        1:?        1:N       0.622 
      519        1:?        1:N       0.995 
      520        1:?        2:Y       0.776 
      521        1:?        1:N       1 
      522        1:?        1:N       1 
      523        1:?        1:N       1 
      524        1:?        1:N       1 
      525        1:?        2:Y       0.842 
      526        1:?        2:Y       1 
      527        1:?        1:N       1 
      528        1:?        1:N       0.994 
      529        1:?        1:N       0.993 
      530        1:?        2:Y       0.981 
      531        1:?        1:N       0.546 
      532        1:?        1:N       0.845 
      533        1:?        1:N       0.948 
      534        1:?        1:N       0.942 
      535        1:?        1:N       0.966 
      536        1:?        1:N       0.996 
      537        1:?        2:Y       1 
      538        1:?        1:N       0.997 
      539        1:?        1:N       0.986 
      540        1:?        1:N       0.979 
      541        1:?        1:N       0.97 
      542        1:?        1:N       0.947 
      543        1:?        1:N       0.994 
      544        1:?        1:N       0.883 
      545        1:?        1:N       0.996 
      546        1:?        1:N       0.989 
      547        1:?        2:Y       0.815 
      548        1:?        1:N       1 
      549        1:?        1:N       0.994 
      550        1:?        2:Y       0.994 
      551        1:?        1:N       0.993 
      552        1:?        1:N       0.974 
      553        1:?        2:Y       0.626 
      554        1:?        2:Y       0.914 
      555        1:?        1:N       0.998 
      556        1:?        2:Y       0.673 
      557        1:?        1:N       0.508 
      558        1:?        1:N       1 
      559        1:?        1:N       0.995 
      560        1:?        1:N       1 
      561        1:?        1:N       1 
      562        1:?        1:N       0.994 
      563        1:?        1:N       0.983 
      564        1:?        1:N       0.999 
      565        1:?        1:N       1 
      566        1:?        1:N       0.995 
      567        1:?        1:N       1 
      568        1:?        1:N       0.993 
      569        1:?        1:N       1 
      570        1:?        1:N       1 
      571        1:?        1:N       0.779 
      572        1:?        1:N       0.897 
      573        1:?        1:N       0.98 
      574        1:?        1:N       0.969 
      575        1:?        1:N       0.993 
      576        1:?        2:Y       1 
      577        1:?        1:N       0.964 
      578        1:?        1:N       0.987 
      579        1:?        1:N       0.982 
      580        1:?        1:N       0.939 
      581        1:?        2:Y       0.992 
      582        1:?        1:N       0.971 
      583        1:?        1:N       0.802 
      584        1:?        1:N       0.852 
      585        1:?        1:N       0.999 
      586        1:?        1:N       1 
      587        1:?        1:N       0.987 
      588        1:?        1:N       0.974 
      589        1:?        1:N       0.974 
      590        1:?        1:N       1 
      591        1:?        1:N       0.915 
      592        1:?        2:Y       0.966 
      593        1:?        2:Y       0.587 
      594        1:?        1:N       0.994 
      595        1:?        1:N       0.836 
      596        1:?        1:N       0.766 
      597        1:?        1:N       0.99 
      598        1:?        1:N       0.99 
      599        1:?        1:N       0.994 
      600        1:?        1:N       1 
      601        1:?        2:Y       0.8 
      602        1:?        1:N       0.987 
      603        1:?        1:N       0.974 
      604        1:?        1:N       0.847 
      605        1:?        1:N       0.968 
      606        1:?        1:N       0.83 
      607        1:?        1:N       0.894 
      608        1:?        1:N       0.83 
      609        1:?        1:N       0.972 
      610        1:?        1:N       1 
      611        1:?        1:N       0.997 
      612        1:?        1:N       0.902 
      613        1:?        1:N       0.989 
      614        1:?        1:N       0.514 
      615        1:?        1:N       0.952 
      616        1:?        1:N       1 
      617        1:?        1:N       0.627 
      618        1:?        2:Y       0.603 
      619        1:?        1:N       0.981 
      620        1:?        1:N       1 
      621        1:?        1:N       1 
      622        1:?        1:N       1 
      623        1:?        1:N       0.703 
      624        1:?        1:N       0.987 
      625        1:?        1:N       1 
      626        1:?        1:N       0.891 
      627        1:?        1:N       0.99 
      628        1:?        1:N       0.957 
      629        1:?        1:N       0.995 
      630        1:?        1:N       0.648 
      631        1:?        1:N       0.989 
      632        1:?        1:N       0.61 
      633        1:?        1:N       0.988 
      634        1:?        1:N       0.955 
      635        1:?        1:N       0.971 
      636        1:?        2:Y       1 
      637        1:?        1:N       0.88 
      638        1:?        1:N       0.918 
      639        1:?        1:N       0.996 
      640        1:?        1:N       1 
      641        1:?        1:N       1 
      642        1:?        1:N       0.926 
      643        1:?        2:Y       1 
      644        1:?        1:N       0.768 
      645        1:?        1:N       0.815 
      646        1:?        1:N       0.947 
      647        1:?        2:Y       0.506 
      648        1:?        1:N       0.908 
      649        1:?        2:Y       0.815 
      650        1:?        1:N       0.982 
      651        1:?        1:N       0.969 
      652        1:?        2:Y       0.957 
      653        1:?        1:N       0.989 
      654        1:?        1:N       1 
      655        1:?        2:Y       0.764 
      656        1:?        1:N       0.979 
      657        1:?        1:N       0.992 
      658        1:?        1:N       0.992 
      659        1:?        1:N       0.996 
      660        1:?        1:N       0.99 
      661        1:?        1:N       0.989 
      662        1:?        1:N       0.982 
      663        1:?        1:N       0.988 
      664        1:?        1:N       1 
      665        1:?        1:N       0.679 
      666        1:?        1:N       0.965 
      667        1:?        1:N       0.99 
      668        1:?        1:N       0.927 
      669        1:?        2:Y       0.608 
      670        1:?        1:N       0.954 
      671        1:?        1:N       0.903 
      672        1:?        2:Y       0.998 
      673        1:?        2:Y       1 
      674        1:?        1:N       0.853 
      675        1:?        1:N       0.759 
      676        1:?        1:N       0.994 
      677        1:?        2:Y       1 
      678        1:?        1:N       0.996 
      679        1:?        1:N       0.612 
      680        1:?        1:N       0.999 
      681        1:?        1:N       0.992 
      682        1:?        1:N       0.999 
      683        1:?        2:Y       0.899 
      684        1:?        1:N       0.999 
      685        1:?        1:N       0.994 
      686        1:?        1:N       0.994 
      687        1:?        1:N       0.994 
      688        1:?        2:Y       0.776 
      689        1:?        1:N       1 
      690        1:?        1:N       0.986 
      691        1:?        1:N       0.981 
      692        1:?        1:N       0.994 
      693        1:?        1:N       0.77 
      694        1:?        1:N       0.914 
      695        1:?        1:N       0.996 
      696        1:?        1:N       0.82 
      697        1:?        1:N       1 
      698        1:?        1:N       0.922 
      699        1:?        1:N       0.87 
      700        1:?        1:N       0.955 
      701        1:?        1:N       1 
      702        1:?        1:N       1 
      703        1:?        1:N       1 
      704        1:?        1:N       0.931 
      705        1:?        2:Y       0.98 
      706        1:?        2:Y       0.942 
      707        1:?        1:N       0.998 
      708        1:?        1:N       0.946 
      709        1:?        1:N       0.629 
      710        1:?        1:N       0.914 
      711        1:?        1:N       0.956 
      712        1:?        1:N       0.991 
      713        1:?        1:N       0.967 
      714        1:?        1:N       1 
      715        1:?        1:N       0.61 
      716        1:?        1:N       1 
      717        1:?        1:N       0.936 
      718        1:?        1:N       0.886 
      719        1:?        2:Y       0.786 
      720        1:?        1:N       0.9 
      721        1:?        1:N       0.956 
      722        1:?        1:N       1 
      723        1:?        1:N       0.992 
      724        1:?        1:N       0.933 
      725        1:?        1:N       0.993 
      726        1:?        2:Y       0.726 
      727        1:?        1:N       0.863 
      728        1:?        1:N       0.945 
      729        1:?        1:N       0.77 
      730        1:?        2:Y       0.645 
      731        1:?        1:N       0.934 
      732        1:?        1:N       0.999 
      733        1:?        1:N       0.943 
      734        1:?        1:N       0.891 
      735        1:?        1:N       0.911 
      736        1:?        1:N       0.993 
      737        1:?        2:Y       0.987 
      738        1:?        1:N       0.996 
      739        1:?        2:Y       1 
      740        1:?        1:N       0.861 
      741        1:?        1:N       0.994 
      742        1:?        1:N       0.994 
      743        1:?        1:N       1 
      744        1:?        2:Y       0.512 
      745        1:?        1:N       0.924 
      746        1:?        1:N       0.885 
      747        1:?        2:Y       0.591 
      748        1:?        1:N       0.958 
      749        1:?        1:N       0.707 
      750        1:?        2:Y       0.988 
      751        1:?        1:N       0.999 
      752        1:?        1:N       0.992 
      753        1:?        1:N       0.999 
      754        1:?        1:N       0.982 
      755        1:?        1:N       0.993 
      756        1:?        1:N       0.772 
      757        1:?        1:N       0.993 
      758        1:?        1:N       0.993 
      759        1:?        1:N       0.653 
      760        1:?        2:Y       1 
      761        1:?        1:N       0.98 
      762        1:?        1:N       0.999 
      763        1:?        1:N       0.996 
      764        1:?        1:N       0.997 
      765        1:?        2:Y       1 
      766        1:?        1:N       0.996 
      767        1:?        2:Y       0.998 
      768        1:?        1:N       0.982 
      769        1:?        1:N       0.62 
      770        1:?        1:N       0.731 
      771        1:?        1:N       0.994 
      772        1:?        1:N       1 
      773        1:?        1:N       0.996 
      774        1:?        1:N       0.994 
      775        1:?        1:N       0.97 
      776        1:?        1:N       0.994 
      777        1:?        1:N       1 
      778        1:?        1:N       0.997 
      779        1:?        1:N       0.99 
      780        1:?        1:N       1 
      781        1:?        1:N       1 
      782        1:?        1:N       0.981 
      783        1:?        1:N       0.981 
      784        1:?        2:Y       1 
      785        1:?        1:N       0.994 
      786        1:?        1:N       0.977 
      787        1:?        2:Y       0.998 
      788        1:?        2:Y       0.876 
      789        1:?        1:N       0.61 
      790        1:?        1:N       1 
      791        1:?        1:N       0.999 
      792        1:?        2:Y       0.993 
      793        1:?        1:N       0.992 
      794        1:?        1:N       0.998 
      795        1:?        1:N       0.908 
      796        1:?        1:N       0.999 
      797        1:?        1:N       0.994 
      798        1:?        1:N       0.996 
      799        1:?        1:N       0.994 
      800        1:?        1:N       0.963 
      801        1:?        1:N       0.997 
      802        1:?        1:N       0.991 
      803        1:?        1:N       1 
      804        1:?        1:N       0.903 
      805        1:?        1:N       0.526 
      806        1:?        2:Y       0.995 
      807        1:?        1:N       0.999 
      808        1:?        2:Y       0.963 
      809        1:?        1:N       0.997 
      810        1:?        1:N       0.989 
      811        1:?        1:N       0.989 
      812        1:?        2:Y       0.879 
      813        1:?        1:N       0.995 
      814        1:?        1:N       0.934 
      815        1:?        1:N       1 
      816        1:?        1:N       0.989 
      817        1:?        2:Y       0.812 
      818        1:?        1:N       0.93 
      819        1:?        1:N       0.913 
      820        1:?        1:N       0.924 
      821        1:?        2:Y       0.849 
      822        1:?        1:N       0.992 
      823        1:?        1:N       0.568 
      824        1:?        1:N       0.944 
      825        1:?        1:N       0.997 
      826        1:?        1:N       0.766 
      827        1:?        1:N       0.971 
      828        1:?        1:N       0.759 
      829        1:?        2:Y       0.948 
      830        1:?        1:N       0.942 
      831        1:?        1:N       0.952 
      832        1:?        1:N       0.992 
      833        1:?        2:Y       0.93 
      834        1:?        1:N       0.985 
      835        1:?        1:N       1 
      836        1:?        1:N       0.659 
      837        1:?        1:N       1 
      838        1:?        1:N       0.996 
      839        1:?        2:Y       0.992 
      840        1:?        1:N       0.964 
      841        1:?        1:N       0.733 
      842        1:?        2:Y       0.98 
      843        1:?        1:N       0.979 
      844        1:?        1:N       0.946 
      845        1:?        1:N       0.979 
      846        1:?        1:N       0.73 
      847        1:?        1:N       1 
      848        1:?        1:N       0.992 
      849        1:?        1:N       0.57 
      850        1:?        1:N       0.976 
      851        1:?        1:N       0.849 
      852        1:?        1:N       1 
      853        1:?        1:N       0.984 
      854        1:?        1:N       0.999 
      855        1:?        1:N       0.898 
      856        1:?        1:N       0.994 
      857        1:?        1:N       0.961 
      858        1:?        1:N       0.886 
      859        1:?        1:N       0.996 
      860        1:?        1:N       0.995 
      861        1:?        2:Y       0.99 
      862        1:?        2:Y       0.942 
      863        1:?        1:N       0.758 
      864        1:?        1:N       0.743 
      865        1:?        1:N       0.54 
      866        1:?        2:Y       0.573 
      867        1:?        1:N       0.997 
      868        1:?        2:Y       0.817 
      869        1:?        1:N       0.932 
      870        1:?        1:N       0.595 
      871        1:?        1:N       0.994 
      872        1:?        1:N       0.994 
      873        1:?        1:N       0.992 
      874        1:?        1:N       1 
      875        1:?        1:N       0.994 
      876        1:?        1:N       0.996 
      877        1:?        1:N       0.991 
      878        1:?        1:N       0.978 
      879        1:?        1:N       0.597 
      880        1:?        1:N       0.735 
      881        1:?        1:N       0.949 
      882        1:?        1:N       0.807 
      883        1:?        2:Y       1 
      884        1:?        2:Y       0.6 
      885        1:?        1:N       0.807 
      886        1:?        1:N       0.965 
      887        1:?        1:N       1 
      888        1:?        1:N       0.976 
